checkpoint,N,HC,contralateral_N,branch,learned_rowsum_maxerr,k6_rowsum_maxerr,learned_nan,k6_nan,learned_branch_mean,k6_branch_mean,learned_to_k6_mean_ratio,learned_branch_median,k6_branch_median,learned_branch_p95,k6_branch_p95,learned_branch_p99,k6_branch_p99,fraction_learned_gt_k6,fraction_learned_gt_1e3,fraction_learned_gt_1e2,fraction_k6_gt_1e3,descriptive_learned_gt_k6
seattle,472958,197778,33072,"16,18,20,22",2.7653506506908343e-07,1.8149876268580556e-07,0,0,0.00044490467588083137,0.00028222329479565405,1.576427899769819,4.8080808359607374e-05,0.0,0.002364762351479043,0.0017315561417490244,0.006346025173629643,0.003060353919863701,0.801463473633285,0.10117319787131109,0.0022980164489598454,0.13340590227382682,True
parkinglot,614157,292095,77622,"16,18,20,22",2.7641262079214357e-07,1.9818617147393525e-07,0,0,0.0003320701007880339,0.0003963100504686163,0.8379048181982215,1.9621866698571466e-05,0.0,0.0014061034598050525,0.002138270530849695,0.005003076883805874,0.003292445093393326,0.7631212800494706,0.06697843394913813,0.002112803071294221,0.17556878204632706,False
jogging,311723,148392,20887,"16,18,20,22",2.716858702456193e-07,1.735752448439598e-07,0,0,0.0007105323391770074,0.0001278923622274448,5.555705804490428,0.0003408071461308282,0.0,0.002469331130851061,0.0013264622539281845,0.004891321507559495,0.002138270530849695,0.9206683583089961,0.1999329726624216,0.0025853401637382103,0.06865514434815914,True
