checkpoint,contralateral_count,hc_dominant_joint_agreement,contra_dominant_joint_agreement,k6_branch_mean,learned_branch_mean,learned_k6_mean_ratio,fraction_learned_branch_gt_1e3,fraction_learned_branch_gt_1e2,fraction_k6_branch_gt_1e3,learned_mean_gt_k6_mean
seattle,33074,0.9999595512207947,1.0,5.826401547892601e-07,0.0004130536108277738,708.9343352539348,0.09539215093426862,0.002086230876216968,0.0,True
parkinglot,77622,0.9999315291257981,0.9999484682177733,2.163266970001132e-07,0.0002398379729129374,1108.6841163798285,0.05020483883435108,0.0015201875756873052,0.0,True
jogging,20887,0.9999258720146639,0.9999521233303011,2.763716224762902e-07,0.0003745635331142694,1355.2894098105278,0.07803897160913487,0.0013884234212668167,0.0,True
