angle,target_sum,outside_sum,leakage_pct,hc_target_sum,hc_outside_sum,hc_leakage_pct
-10deg,307.912842,17.592449,5.404658,82.980087,2.685947,3.135370
+10deg,309.443726,17.596235,5.380455,83.239906,2.686811,3.126863
