raw_frame,scale,learned_contralateral,k6_contralateral,ablated_contralateral,learned_contralateral_pct_hc,k6_reduction_vs_learned_pct,ablation_reduction_vs_learned_pct,fraction_contralateral_points_reduced,removed_mass_vs_reduction_corr
2,3.935972,5.416987895965576,0.01578645221889019,0.0,3.3971048755337407,99.70857508781499,100.0,0.8418103115096236,0.9975359387446432
7,3.694916,5.089293956756592,0.014823767356574535,0.0,3.3925969009792323,99.70872644648686,100.0,0.848780,0.997517145918724
12,3.602954,4.965871334075928,0.014452259987592697,0.0,3.393531936087887,99.7089682954848,100.0,0.856497,0.9975294137481096
17,3.653771,5.0378522872924805,0.014664513990283012,0.0,3.394679830311602,99.70891337907479,100.0,0.857012,0.9975523645705863
