axis,degrees,learned_contralateral,k6_contralateral,ablated_contralateral,learned_contralateral_pct_hc,k6_reduction_vs_learned_pct,ablation_reduction_vs_learned_pct,fraction_contralateral_points_reduced,removed_mass_vs_reduction_corr,relative_sign_asymmetry_pct
x,-10.0,0.31706345081329346,0.0038056853227317333,0.0,0.3316531584713042,98.7997086031298,100.0,0.618472,0.9664424743486758,0.5583232093225667
x,10.0,0.3152981400489807,0.003772206138819456,0.0,0.33013051373392366,98.80360659969848,100.0,0.619657,0.9677494773982773,0.5583232093225667
y,-10.0,5.4166483879089355,0.015551913529634476,0.0,3.800178527384458,99.71288678134712,100.0,0.838152,0.997632907644412,0.001972
y,10.0,5.416755199432373,0.015528872609138489,0.0,3.8055364842914843,99.71331780674221,100.0,0.830718,0.9976283318513118,0.001972
z,-10.0,5.415345668792725,0.015778526663780212,0.0,3.3964302345756505,99.70863306557311,100.0,0.833823,0.9975283425964839,0.030321
z,10.0,5.416987895965576,0.01578645221889019,0.0,3.3971048755337407,99.70857508781499,100.0,0.841810,0.9975359387446432,0.030321
